AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
0,5.71,2.26,0.56,3.01,1.83,1.63,1.27,1.16,0.69,0.34,6.93,2.75,0.87,0.89,1.23,1.22,0.66,0.56,2.12,1.19,1.77,1.33,1.7,0.3,0.87,2.52,1.55,2.84,1.87,1.37,1.79,1.58,0.68,2.05,0.96,1.01,3.19,1.31,1.7,0.56,1.77,0.39,1.25,2.39,1.79,1.02,3.32,0.94,1.37,2.15
5.71,0,4.51,5.24,3.93,4.25,5.46,5.58,5.52,6.37,5.78,5.16,3.38,4.88,4.98,4.48,4.62,5.3,5.66,5.27,5.53,5.44,4.69,4.04,5.51,4.85,3.33,4.25,3.7,5.29,5.53,4.69,5.23,5.65,3.66,5.12,4.9,3.17,5.3,5.49,5.82,3.97,5.38,5.27,3.95,5.24,5.57,2.79,5.36,4.44,3.78
2.26,4.51,0,1.74,0.81,0.76,3.45,3.21,3.08,2.87,2.56,4.68,1.16,2.07,2.31,1.77,1.27,2.45,1.81,3.77,3.12,3.56,2.54,1.95,1.96,1.73,1.44,1.28,0.85,3.56,3.27,0.47,3.27,2.76,1.75,2.58,1.31,1.37,3.07,3.53,2.76,1.5,2.23,1.1,0.6,3.47,3,1.72,2.78,2.18,1.06
0.56,5.24,1.74,0,2.46,1.26,1.86,1.56,1.43,1.25,0.83,6.41,2.19,0.64,0.81,0.81,0.66,0.79,0.49,2.29,1.46,1.99,1.23,1.3,0.29,0.42,1.98,1.01,2.28,2.05,1.63,1.27,1.74,1.04,1.58,1.02,0.45,2.63,1.49,1.94,1.02,1.27,0.52,0.84,1.82,1.96,1.32,2.77,1.14,1.1,1.59
3.01,3.93,0.81,2.46,0,1.26,4.02,3.83,3.7,3.65,3.29,4.01,0.9,2.67,2.91,2.29,1.9,3.1,2.6,4.27,3.74,4.12,3.05,2.31,2.71,2.37,1.4,1.75,0.39,4.09,3.87,1.24,3.82,3.45,1.97,3.18,2.01,0.81,3.65,4.1,3.47,1.85,2.93,1.9,0.72,3.99,3.64,1.22,3.41,2.65,1.25
1.83,4.25,0.76,1.26,1.26,0,2.77,2.57,2.44,2.5,2.07,5.27,0.96,1.41,1.65,1.05,0.64,1.84,1.53,3.05,2.47,2.87,1.82,1.19,1.54,1.11,0.94,0.53,1.02,2.86,2.61,0.54,2.57,2.2,1.03,1.92,0.82,1.37,2.4,2.85,2.24,0.75,1.69,1.02,0.57,2.76,2.38,1.57,2.14,1.44,0.47
1.63,5.46,3.45,1.86,4.02,2.77,0,0.37,0.47,1.72,1.33,8.02,3.41,1.38,1.14,1.73,2.18,1.08,2.15,0.52,0.44,0.14,1.01,1.83,1.8,1.73,2.97,2.27,3.72,0.28,0.27,3.02,0.25,0.95,2.29,0.88,2.18,3.86,0.38,0.08,1.14,2.24,1.37,2.7,3.31,0.27,0.61,3.81,0.72,1.4,2.84
1.27,5.58,3.21,1.56,3.83,2.57,0.37,0,0.13,1.35,0.96,7.84,3.29,1.17,0.92,1.57,1.95,0.78,1.81,0.89,0.1,0.51,0.95,1.76,1.46,1.48,2.89,2.1,3.56,0.65,0.11,2.76,0.45,0.59,2.23,0.66,1.92,3.75,0.28,0.44,0.77,2.12,1.05,2.4,3.13,0.6,0.25,3.74,0.43,1.31,2.69
1.16,5.52,3.08,1.43,3.7,2.44,0.47,0.13,0,1.29,0.86,7.71,3.17,1.04,0.8,1.44,1.82,0.64,1.69,0.97,0.04,0.61,0.85,1.66,1.34,1.35,2.78,1.97,3.43,0.73,0.21,2.63,0.48,0.48,2.12,0.54,1.78,3.63,0.25,0.55,0.68,2,0.92,2.27,3,0.67,0.14,3.62,0.3,1.21,2.57
0.69,6.37,2.87,1.25,3.65,2.5,1.72,1.35,1.29,0,0.6,7.49,3.43,1.49,1.42,1.89,1.9,1.12,1.06,2.23,1.31,1.85,1.81,2.33,0.97,1.55,3.2,2.23,3.51,2,1.46,2.41,1.77,0.87,2.72,1.38,1.69,3.87,1.52,1.78,0.65,2.45,0.99,1.8,3.05,1.95,1.16,4.01,1.23,1.96,2.84
