id,state,Abv,SI,d_tot,d_fem,d_male,d_white,pop_tot,pop_white,pop_black,pop_AIAN,pop_Asian,pop_NHPI,pop_hispanic,pop_male,pop_fem,Lr100_tot,Lr100_fem,Lr100_male,Lr100_white
1,Alabama,AL,27.05989567809242,1490,291,1199,1270,5024279,3220452,1296162,33625,76660,2984,264047,2365734,2527452,32.124012,13.610545,53.683128,44.000034
2,Alaska,AK,44.66138599105786,391,81,310,211,733391,435392,21898,111575,44032,12698,49824,384653,352337,53.177635,23.273172,80.072166,50.2995
3,Arizona,AZ,29.62725782414324,2613,541,2072,2200,7151502,4322337,339150,319512,257430,16397,2192253,3564979,3609085,40.033546,16.65242,63.450584,57.630859
4,Arkansas,AR,31.04895678092385,1105,214,891,985,3011524,2114512,453783,27177,51839,14533,256847,1478511,1533362,37.356503,14.934504,60.601509,49.231216
5,California,CA,51.27794336810734,7578,1657,5921,6142,39538223,16296122,2237044,631016,6085947,157263,15579652,19562882,19783141,22.527567,9.897316,35.521351,45.207073
6,Colorado,CO,39.41585692995522,2486,537,1949,2276,5773714,4082927,234828,74129,199827,10287,1263390,2862153,2822773,44.962395,21.716234,69.283508,58.90382
7,Connecticut,CT,44.4759165424737,702,182,520,635,3605944,2395128,388675,16051,172455,1598,623293,1741688,1828861,23.572191,11.591914,36.63113,32.190346
8,Delaware,DE,44.25454545454563,233,37,196,193,989948,597763,218899,5148,42699,412,104290,467720,499959,23.738621,10.400853,39.125973,33.792656
9,District of Columbia,DC,47.0114008941876,77,14,63,39,689545,273194,285810,3193,33545,432,77652,333137,368837,14.357293,8.1336746,20.7122,20.498255
10,Florida,FL,32.16523099850974,5947,1376,4571,5359,21538187,12422961,3246381,94795,643682,14014,5697240,10374594,10842330,32.542202,14.646298,52.252647,51.662403
11,Georgia,GA,36.45970193740703,2893,568,2325,2172,10711908,5555483,3320513,50618,479028,7299,1123457,5113936,5402643,29.789278,13.160226,48.494938,46.008602
12,Hawaii,HI,63.06491803278652,348,101,247,136,1455271,333261,23417,4370,541902,157445,138923,712250,707824,28.860603,12.432469,46.612846,45.909962
13,Idaho,ID,33.69758569299557,738,132,606,713,1839106,1510360,15726,25621,26836,3726,239407,879763,874604,42.357536,19.551706,69.10952,48.26664
14,Illinois,IL,39.40417287630398,2594,567,2027,2182,12812508,7868227,1808271,96498,754878,4501,2337410,6247083,6469081,22.79023,9.9705048,36.416996,32.586758
15,Indiana,IN,35.1182414307002,1978,365,1613,1790,6785528,5241795,648513,26086,167959,3137,554191,3300350,3396543,30.329254,12.571606,49.419003,36.399746
16,Iowa,IA,23.34047690014905,994,170,824,938,3190369,2694521,131972,14486,75629,5758,215986,1564436,1585575,32.974243,12.361446,54.716206,36.963898
17,Kansas,KS,38.5895827123695,1005,186,819,915,2937880,2222462,168809,30995,86273,3412,382603,1451919,1460700,36.62505,14.992811,59.02533,43.91526
18,Kentucky,KY,42.68555886736215,1477,225,1252,1380,4505836,3711254,362417,12801,74426,3681,207854,2196522,2265430,35.08783,13.374945,58.182892,39.986485
19,Louisiana,LA,47.53731743666201,1234,242,992,1015,4657757,2657652,1464023,31657,86438,1911,322549,2276932,2387684,30.379429,12.438832,49.101158,44.58823
20,Maine,ME,46.01806259314448,467,82,385,452,1362359,1237041,25752,7885,16798,443,26609,656628,684197,40.444553,15.346457,67.922783,42.925011
21,Maryland,MD,41.50454545454519,1106,210,896,843,6177224,3007874,1820472,31845,420944,3247,729745,2925644,3111980,21.28788,9.2224245,35.137562,34.442932
22,Massachusetts,MA,46.56275707898644,1114,267,847,1009,7029917,4896037,494029,24018,507934,2301,887685,3335992,3537011,19.786861,9.6409082,31.474895,26.021046
23,Michigan,MI,40.79681073025323,2660,526,2134,2290,10077331,7444974,1376579,61261,334300,3051,564422,4911965,5061942,30.315567,12.544593,49.267452,36.104893
24,Minnesota,MN,40.21859910581205,1449,281,1168,1254,5706494,4423146,398434,68641,299190,2918,345640,2789017,2811149,27.424894,12.059126,43.958141,30.950821
25,Mississippi,MS,30.31494783904603,834,137,697,676,2961279,1658893,1084481,16450,32709,1154,105220,1443708,1538127,28.534967,10.402262,47.447269,42.196815
26,Missouri,MO,32.92372578241436,2137,388,1749,1932,6154913,4740335,699840,30518,133377,9730,303068,3004001,3120159,38.294613,14.871037,63.015957,45.671879
