state,sui_rate,Abv,si,fips
Alabama,14.771823,AL,3407.6895,01
Alaska,25.302328,AK,4848.2446,02
Arizona,16.735384,AZ,3837.0835,04
Arkansas,17.422741,AR,3600.3611,05
California,9.5534258,CA,5592.7134,06
Colorado,20.662157,CO,4579.3882,08
Connecticut,9.3618059,CT,5601.582,09
Delaware,11.045704,DE,5457.6328,10
District of Columbia,4.6295257,DC,5437.5103,11
Florida,13.108909,FL,4434.0117,12
Georgia,12.679718,GA,4489.2271,13
Hawaii,12.153466,HI,6360.4121,15
Idaho,20.90959,ID,4261.9492,16
Illinois,9.8827963,IL,4758.0151,17
Indiana,13.767675,IN,4297.2271,18
Iowa,16.057854,IA,2883.603,19
Kansas,16.576263,KS,4203.7998,20
Kentucky,16.259977,KY,5236.5103,21
Louisiana,12.873177,LA,4514.5405,22
Maine,15.553931,ME,6001.4658,23
Maryland,8.8179893,MD,5334.0654,24
Massachusetts,7.9784451,MA,5306.5073,25
Michigan,13.234262,MI,5113.0566,26
Minnesota,12.408654,MN,4986.8179,27
Mississippi,12.808474,MS,3889.8359,28
Missouri,16.84129,MO,3969.4746,29
Montana,24.98665,MT,4417.4092,30
Nebraska,13.780275,NE,3883.9851,31
Nevada,17.334452,NV,4412.9941,32
New Hampshire,16.175367,NH,4318.8804,33
New Jersey,6.8787942,NJ,4752.3672,34
New Mexico,22.741095,NM,6307.3013,35
New York,7.8192973,NY,6431.6748,36
North Carolina,12.41413,NC,5134.0537,37
North Dakota,15.941274,ND,3147.5581,38
Ohio,12.819398,OH,5326.6118,39
Oklahoma,20.021187,OK,3151.2119,40
Oregon,18.036043,OR,4723.9312,41
Pennsylvania,12.054833,PA,4709.4209,42
Rhode Island,8.0406761,RI,6032.3193,44
South Carolina,14.85232,SC,3874.5464,45
South Dakota,19.603077,SD,2007.7313,46
Tennessee,16.291956,TN,4294.0327,47
Texas,12.210175,TX,4637.4209,48
Utah,18.308374,UT,3518.6538,49
Vermont,17.646671,VT,5257.5791,50
Virginia,12.537013,VA,4374.3882,51
Washington,14.128604,WA,5229.4805,53
West Virginia,17.98534,WV,4354.1196,54
Wisconsin,13.835895,WI,4005.8538,55
Wyoming,29.193169,WY,4243.0747,56
